Country Name,Ladder Score,Log GDP per capita,Social support,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,2018_gdp,2018_growth,2018_life,2018_co2,Regional indicator
Afghanistan,2.694,7.692,0.508,0.374,-0.094,0.928,0.424,0.405,18353881130.0,1.189228128,64.486,7440.0,South Asia
Albania,5.004,9.518,0.684,0.824,0.009,0.899,0.713,0.319,15147020535.0,4.071301295,78.458,5560.0,Central and Eastern Europe
Algeria,5.043,9.348,0.799,0.583,-0.146,0.759,0.591,0.293,175000000000.0,1.2,76.693,151670.0,Middle East and North Africa
Argentina,5.793,10.032,0.9,0.846,-0.211,0.855,0.82,0.321,518000000000.0,-2.565351882,76.52,177410.0,Latin America and Caribbean
Armenia,5.062,9.451,0.814,0.808,-0.163,0.677,0.581,0.455,12457941907.0,5.2,74.945,5550.0,Commonwealth of Independent States
Australia,7.177,10.811,0.94,0.916,0.146,0.405,0.759,0.187,1430000000000.0,2.949285772,82.74878049,386620.0,North America and ANZ
Austria,7.396,10.928,0.912,0.904,0.053,0.523,0.752,0.226,455000000000.0,2.580120733,81.69268293,63180.0,Western Europe
Azerbaijan,5.168,9.562,0.781,0.772,-0.232,0.561,0.593,0.191,47112941176.0,1.500401707,72.864,32020.0,Commonwealth of Independent States
Bangladesh,4.499,8.399,0.706,0.901,-0.043,0.701,0.541,0.361,274000000000.0,7.86374303,72.32,82760.0,South Asia
Belarus,5.234,9.846,0.905,0.644,-0.174,0.718,0.45,0.236,60031262269.0,3.149197594,74.17560976,59310.0,Commonwealth of Independent States
Belgium,6.892,10.844,0.93,0.808,-0.125,0.63,0.75,0.25,543000000000.0,1.787920078,81.59512195,93470.0,Western Europe
Benin,5.82,8.059,0.504,0.713,0.002,0.747,0.647,0.468,14250987026.0,6.697259461,61.47,7910.0,Sub-Saharan Africa
Bolivia,5.916,9.066,0.827,0.863,-0.093,0.786,0.742,0.387,40287647931.0,4.223623653,71.239,22710.0,Latin America and Caribbean
Bosnia and Herzegovina,5.887,9.576,0.836,0.659,0.123,0.913,0.643,0.277,20183510561.0,3.740071092,77.262,22540.0,Central and Eastern Europe
Botswana,3.461,9.778,0.795,0.818,-0.254,0.807,0.73,0.267,18663265549.0,4.478836553,69.275,8210.0,Sub-Saharan Africa
Brazil,6.191,9.589,0.882,0.751,-0.117,0.763,0.75,0.35,1920000000000.0,1.783666761,75.672,427710.0,Latin America and Caribbean
Bulgaria,5.099,10.007,0.924,0.724,-0.176,0.952,0.639,0.189,66230155100.0,3.092447654,74.96341463,41130.0,Central and Eastern Europe
Burkina Faso,4.927,7.665,0.665,0.721,-0.013,0.757,0.711,0.343,16059910871.0,6.731235608,61.174,4270.0,Sub-Saharan Africa
Burundi,3.775,6.635,0.485,0.646,-0.024,0.599,0.666,0.363,3036937141.0,1.609933082,61.247,590.0,Sub-Saharan Africa
Cambodia,5.122,8.333,0.795,0.958,0.036,,0.845,0.414,24571753584.0,7.469169207,69.57,11160.0,Southeast Asia
Cameroon,5.251,8.19,0.677,0.816,0.036,0.884,0.642,0.356,38694156863.0,4.06248684,58.921,8620.0,Sub-Saharan Africa
Canada,7.175,10.798,0.923,0.946,0.106,0.372,0.824,0.259,1720000000000.0,2.429547545,82.04878049,574400.0,North America and ANZ
Chad,4.486,7.363,0.577,0.65,0.024,0.763,0.553,0.544,11239167048.0,2.3740378,53.977,1070.0,Sub-Saharan Africa
Chile,6.436,10.097,0.89,0.789,-0.06,0.816,0.833,0.276,298000000000.0,3.713859177,80.042,86620.0,Latin America and Caribbean
China,5.131,9.632,0.788,0.895,-0.159,,0.856,0.19,13900000000000.0,6.749773832,76.704,10313460.0,East Asia
Colombia,5.984,9.579,0.871,0.851,-0.148,0.855,0.825,0.301,334000000000.0,2.564324283,77.109,79490.0,Latin America and Caribbean
Comoros,3.973,8.028,0.621,0.56,0.086,0.794,0.748,0.337,1178530634.0,3.430764136,64.118,260.0,Sub-Saharan Africa
Costa Rica,7.141,9.874,0.876,0.942,-0.107,0.781,0.87,0.326,62335931464.0,2.05620273,80.095,8260.0,Latin America and Caribbean
Croatia,5.536,10.224,0.91,0.691,-0.151,0.925,0.582,0.29,61375222347.0,2.807609701,78.07073171,16580.0,Central and Eastern Europe
Cyprus,6.276,10.567,0.826,0.794,-0.022,0.848,0.75,0.298,25309818139.0,5.240747828,80.828,7230.0,Western Europe
Czech Republic,7.034,10.583,0.929,0.79,-0.292,0.851,0.714,0.178,249000000000.0,3.198656101,79.02926829,102480.0,Central and Eastern Europe
Denmark,7.649,10.935,0.958,0.935,0.018,0.151,0.821,0.206,357000000000.0,1.989537315,80.95365854,33380.0,Western Europe
Dominican Republic,5.433,9.782,0.862,0.867,-0.15,0.762,0.745,0.291,85555378043.0,6.982527585,73.892,25120.0,Latin America and Caribbean
Ecuador,6.128,9.355,0.851,0.869,-0.099,0.831,0.876,0.328,108000000000.0,1.289291933,76.8,39530.0,Latin America and Caribbean
El Salvador,6.241,9.061,0.82,0.863,-0.095,0.801,0.86,0.27,26020850000.0,2.412371287,73.096,6810.0,Latin America and Caribbean
Estonia,6.091,10.472,0.933,0.886,-0.141,0.621,0.795,0.163,30474612057.0,4.133819798,78.24390244,16000.0,Central and Eastern Europe
Ethiopia,4.379,7.651,0.74,0.74,0.039,0.799,0.66,0.272,84269348327.0,6.816147797,66.24,16280.0,Sub-Saharan Africa
Finland,7.858,10.783,0.962,0.938,-0.127,0.199,0.782,0.182,276000000000.0,1.141947509,81.73414634,44360.0,Western Europe
France,6.666,10.727,0.921,0.816,-0.138,0.582,0.767,0.282,2790000000000.0,1.865066071,82.72439024,309960.0,Western Europe
Gabon,4.783,9.599,0.785,0.719,-0.197,0.823,0.641,0.418,16862282414.0,0.842950946,66.187,4610.0,Sub-Saharan Africa
Georgia,4.659,9.565,0.617,0.775,-0.233,0.755,0.573,0.244,17599700091.0,4.842919885,73.6,9460.0,Commonwealth of Independent States
Germany,7.118,10.89,0.92,0.877,0.034,0.496,0.78,0.243,3980000000000.0,1.086024514,80.89268293,709540.0,Western Europe
Ghana,5.004,8.555,0.761,0.817,0.062,0.846,0.747,0.25,65315955123.0,6.200077672,63.78,16110.0,Sub-Saharan Africa
Greece,5.409,10.299,0.794,0.564,-0.335,0.86,0.666,0.255,212000000000.0,1.558977652,81.78780488,65290.0,Western Europe
Guatemala,6.627,9.042,0.841,0.91,-0.01,0.765,0.871,0.262,73208583759.0,3.322097997,74.063,18210.0,Latin America and Caribbean
